job_title,experience_level,industry,city,salary_median_gbp
Pharmacist,Senior,Retail,Ratnapura,6224
Teacher,Senior,Telecoms,Ratnapura,12703
Sales Executive,Senior,Telecoms,Polonnaruwa,13701
Sales Executive,Entry,Logistics,Trincomalee,2814
Sales Executive,Senior,Finance,Matara,18720
Teacher,Entry,Government,Polonnaruwa,2704
HR Specialist,Entry,Education,Polonnaruwa,3542
Software Engineer,Entry,Education,Anuradhapura,5099
Sales Executive,Mid,Retail,Jaffna,3703
Data Scientist,Entry,Healthcare,Matara,9003
Data Scientist,Mid,Telecoms,Colombo,13784
Teacher,Senior,Tourism,Anuradhapura,6436
Pharmacist,Mid,Government,Galle,5858
Pharmacist,Senior,Retail,Kurunegala,5717
Nurse,Entry,Tourism,Polonnaruwa,2500
Customer Support,Entry,IT,Negombo,4397
Data Scientist,Senior,Tourism,Kandy,9805
Project Manager,Senior,Education,Colombo,8571
Teacher,Mid,Construction,Trincomalee,3004
Software Engineer,Entry,Retail,Batticaloa,3620
HR Specialist,Senior,Retail,Galle,5185
Customer Support,Mid,Government,Trincomalee,2741
Civil Engineer,Mid,Education,Ratnapura,5426
Project Manager,Mid,Education,Polonnaruwa,4536
Civil Engineer,Entry,IT,Jaffna,6637
Software Engineer,Mid,Telecoms,Kandy,10699
HR Specialist,Entry,Tourism,Matara,2500
HR Specialist,Senior,IT,Kurunegala,15871
HR Specialist,Senior,Agriculture,Polonnaruwa,4288
HR Specialist,Senior,Healthcare,Kurunegala,14646
Marketing Manager,Mid,Telecoms,Negombo,8976
Nurse,Entry,Education,Galle,2610
Data Scientist,Entry,IT,Kurunegala,11010
Data Scientist,Mid,IT,Kandy,16573
Customer Support,Senior,Manufacturing,Anuradhapura,4429
Civil Engineer,Senior,Retail,Jaffna,6072
Accountant,Senior,Tourism,Matara,5975
Teacher,Senior,Finance,Galle,14644
Pharmacist,Mid,Education,Negombo,6923
HR Specialist,Entry,Retail,Matara,2500
Pharmacist,Senior,Government,Anuradhapura,8642
Customer Support,Entry,Retail,Kandy,2500
Civil Engineer,Entry,Government,Jaffna,2841
Marketing Manager,Senior,Construction,Colombo,8023
Marketing Manager,Mid,IT,Kandy,7962
Civil Engineer,Senior,Agriculture,Anuradhapura,4048
Accountant,Mid,Healthcare,Anuradhapura,7675
Marketing Manager,Senior,Agriculture,Kurunegala,3114
Nurse,Entry,Tourism,Negombo,2500
Accountant,Senior,Construction,Kandy,7366
Accountant,Entry,Healthcare,Negombo,5050
Marketing Manager,Mid,Retail,Matara,4350
Civil Engineer,Entry,Education,Galle,3718
Customer Support,Entry,Manufacturing,Galle,2500
Sales Executive,Mid,Education,Galle,4614
Marketing Manager,Mid,Construction,Batticaloa,4433
Teacher,Entry,Education,Jaffna,2521
Software Engineer,Senior,Agriculture,Trincomalee,4233
Nurse,Senior,Manufacturing,Negombo,5311
Teacher,Senior,Healthcare,Anuradhapura,12035
Civil Engineer,Senior,Retail,Polonnaruwa,6590
Nurse,Senior,Agriculture,Jaffna,2836
Data Scientist,Mid,Agriculture,Matara,3672
Civil Engineer,Senior,Tourism,Matara,5684
Sales Executive,Senior,Agriculture,Kurunegala,4852
HR Specialist,Entry,Construction,Polonnaruwa,3225
Sales Executive,Entry,IT,Colombo,7837
Sales Executive,Entry,Agriculture,Batticaloa,2500
HR Specialist,Entry,Tourism,Polonnaruwa,3013
Sales Executive,Mid,Retail,Jaffna,4122
Data Scientist,Mid,Education,Matara,8299
Pharmacist,Mid,Telecoms,Matara,9169
Data Scientist,Senior,Agriculture,Kurunegala,6633
Project Manager,Entry,Finance,Kandy,6954
Teacher,Entry,Construction,Batticaloa,2500
Data Scientist,Senior,Finance,Polonnaruwa,25137
Project Manager,Senior,Agriculture,Polonnaruwa,4831
Customer Support,Senior,Tourism,Jaffna,3544
Marketing Manager,Entry,Tourism,Kurunegala,2777
Sales Executive,Mid,Government,Colombo,5483
HR Specialist,Mid,Healthcare,Jaffna,7429
Accountant,Entry,Healthcare,Negombo,6231
Project Manager,Entry,Retail,Kurunegala,2631
Sales Executive,Senior,IT,Trincomalee,17264
Teacher,Entry,Manufacturing,Trincomalee,3053
Customer Support,Senior,Telecoms,Ratnapura,8315
Customer Support,Entry,Finance,Kandy,4808
Marketing Manager,Senior,Retail,Colombo,5282
Civil Engineer,Mid,Finance,Kandy,9394
Civil Engineer,Mid,Construction,Galle,4208
Software Engineer,Senior,Retail,Polonnaruwa,8686
Teacher,Senior,Healthcare,Matara,13020
Pharmacist,Senior,IT,Ratnapura,16059
Project Manager,Senior,Healthcare,Kandy,12953
Civil Engineer,Mid,Construction,Jaffna,3933
Nurse,Senior,IT,Polonnaruwa,14868
Sales Executive,Mid,Healthcare,Trincomalee,9350
HR Specialist,Mid,Construction,Matara,4213
Customer Support,Entry,Retail,Negombo,2500
Accountant,Senior,Retail,Ratnapura,4942
Data Scientist,Entry,Education,Galle,6004
Accountant,Senior,Logistics,Jaffna,6758
Marketing Manager,Mid,Government,Polonnaruwa,4001
Nurse,Mid,Logistics,Jaffna,2592
Project Manager,Entry,Government,Batticaloa,2910
Teacher,Mid,Telecoms,Colombo,8430
Customer Support,Mid,Education,Anuradhapura,2854
Marketing Manager,Mid,IT,Polonnaruwa,11029
HR Specialist,Mid,Logistics,Kandy,3966
Marketing Manager,Entry,Agriculture,Jaffna,2500
Software Engineer,Mid,Construction,Jaffna,6538
Software Engineer,Mid,Government,Matara,7224
Civil Engineer,Entry,Logistics,Jaffna,3870
Project Manager,Mid,Logistics,Jaffna,3572
Civil Engineer,Senior,Education,Kandy,9712
Sales Executive,Senior,Telecoms,Kandy,14711
Civil Engineer,Mid,Education,Negombo,5526
