job_title,experience_level,industry,city,salary_median_gbp
7,2,9,10,6224
11,2,10,10,12703
9,2,10,9,13701
9,0,7,11,2814
9,2,3,7,18720
11,0,4,9,2704
4,0,2,9,3542
10,0,2,0,5099
9,1,9,4,3703
3,0,5,7,9003
3,1,10,2,13784
11,2,11,0,6436
7,1,4,3,5858
7,2,9,6,5717
6,0,11,9,2500
2,0,6,8,4397
3,2,11,5,9805
8,2,2,2,8571
11,1,1,11,3004
10,0,9,1,3620
4,2,9,3,5185
2,1,4,11,2741
1,1,2,10,5426
8,1,2,9,4536
1,0,6,4,6637
10,1,10,5,10699
4,0,11,7,2500
4,2,6,6,15871
4,2,0,9,4288
4,2,5,6,14646
5,1,10,8,8976
6,0,2,3,2610
3,0,6,6,11010
3,1,6,5,16573
2,2,8,0,4429
1,2,9,4,6072
0,2,11,7,5975
11,2,3,3,14644
7,1,2,8,6923
4,0,9,7,2500
7,2,4,0,8642
2,0,9,5,2500
1,0,4,4,2841
5,2,1,2,8023
5,1,6,5,7962
1,2,0,0,4048
0,1,5,0,7675
5,2,0,6,3114
6,0,11,8,2500
0,2,1,5,7366
0,0,5,8,5050
5,1,9,7,4350
1,0,2,3,3718
2,0,8,3,2500
9,1,2,3,4614
5,1,1,1,4433
11,0,2,4,2521
10,2,0,11,4233
6,2,8,8,5311
11,2,5,0,12035
1,2,9,9,6590
6,2,0,4,2836
3,1,0,7,3672
1,2,11,7,5684
9,2,0,6,4852
4,0,1,9,3225
9,0,6,2,7837
9,0,0,1,2500
4,0,11,9,3013
9,1,9,4,4122
3,1,2,7,8299
7,1,10,7,9169
3,2,0,6,6633
8,0,3,5,6954
11,0,1,1,2500
3,2,3,9,25137
8,2,0,9,4831
2,2,11,4,3544
5,0,11,6,2777
9,1,4,2,5483
4,1,5,4,7429
0,0,5,8,6231
8,0,9,6,2631
9,2,6,11,17264
11,0,8,11,3053
2,2,10,10,8315
2,0,3,5,4808
5,2,9,2,5282
1,1,3,5,9394
1,1,1,3,4208
10,2,9,9,8686
11,2,5,7,13020
7,2,6,10,16059
8,2,5,5,12953
1,1,1,4,3933
6,2,6,9,14868
9,1,5,11,9350
4,1,1,7,4213
2,0,9,8,2500
0,2,9,10,4942
3,0,2,3,6004
0,2,7,4,6758
5,1,4,9,4001
6,1,7,4,2592
8,0,4,1,2910
11,1,10,2,8430
2,1,2,0,2854
5,1,6,9,11029
4,1,7,5,3966
5,0,0,4,2500
10,1,1,4,6538
10,1,4,7,7224
1,0,7,4,3870
8,1,7,4,3572
1,2,2,5,9712
9,2,10,5,14711
1,1,2,8,5526
3,0,10,4,10205
5,1,11,10,4448
1,0,4,4,3351
1,0,3,4,6164
4,2,1,4,6240
8,2,7,6,6712
5,2,7,9,6808
7,0,4,1,2935
11,0,3,4,5701
5,1,8,2,4868
6,0,10,3,4828
11,2,4,1,6855
3,0,9,3,3804
2,0,2,3,2500
7,1,11,9,5280
6,0,6,2,5981
0,2,0,2,4412
2,0,11,7,2500
4,0,11,7,2702
11,2,8,1,6520
1,0,1,6,3187
6,0,0,5,2500
0,1,4,11,5889
9,1,9,6,3597
7,1,11,9,3511
10,0,7,1,4243
5,0,4,8,3180
9,2,6,3,19697
11,1,7,3,3123
7,0,2,4,3998
2,1,8,4,2500
7,1,0,9,2500
1,2,4,7,7158
8,2,6,2,15290
7,0,0,7,2500
6,2,2,1,4177
2,0,2,0,2500
7,0,8,5,3338
6,0,10,10,4186
3,0,6,11,13196
3,2,0,2,6550
2,0,2,0,2576
9,0,9,3,2651
2,2,7,8,4056
11,1,0,5,2500
11,2,6,4,14995
8,1,10,11,9463
1,0,1,3,2721
6,2,2,6,5143
11,2,1,0,5421
8,2,2,8,7801
11,1,7,11,3441
5,0,3,4,7411
4,0,3,9,6589
0,0,9,11,2500
2,0,0,2,2500
0,2,6,3,13673
7,0,9,10,2500
10,1,10,11,12733
1,0,0,3,2500
7,2,4,3,6806
8,0,0,10,2500
10,0,11,6,3115
8,1,11,4,2993
10,0,8,8,4746
11,2,4,1,6249
9,1,11,7,4015
3,2,7,9,7445
1,1,3,10,8497
5,1,3,3,8320
2,1,10,5,4469
7,0,10,7,6529
6,1,6,9,7656
3,2,8,9,9619
4,0,3,11,7122
11,0,5,2,5538
5,0,10,10,6047
0,0,9,2,2500
2,0,1,10,2500
8,2,2,5,9002
1,1,7,10,3619
7,0,6,8,6670
5,0,3,9,7470
2,1,8,8,2500
3,0,2,7,5271
0,0,11,2,2500
10,1,9,0,5077
11,0,2,5,3299
7,2,1,0,7047
4,0,9,3,2615
10,0,6,6,8126
9,0,9,5,2500
3,1,9,11,5719
6,0,3,2,5150
8,0,9,3,2500
0,2,4,3,6601
4,0,9,6,2500
8,1,3,2,9701
10,2,5,9,17530
8,0,6,7,7880
6,2,11,8,5447
2,0,11,10,2500
0,1,6,4,9928
0,0,11,10,2929
11,0,9,11,2500
2,1,9,5,2500
3,2,4,0,12018
2,1,3,11,5611
5,0,5,10,6344
10,0,10,7,9493
6,1,5,9,5855
1,1,9,6,3542
2,0,6,6,5027
6,1,8,6,3025
1,1,1,1,5050
9,0,1,2,3201
1,2,8,1,6983
3,2,8,10,11072
9,1,10,1,8765
0,2,3,8,12260
2,2,1,6,2836
0,0,3,11,5067
11,1,7,5,3925
0,1,11,8,4393
11,1,3,4,6767
7,2,10,2,16878
5,1,10,9,9648
6,0,3,5,6113
6,0,10,11,4314
9,2,7,10,5774
1,2,1,2,7325
2,2,3,2,8923
4,0,9,8,2500
10,0,10,5,10104
9,1,8,8,4795
6,1,10,8,6224
1,1,5,6,9567
9,0,5,1,6703
2,0,3,11,3951
7,2,11,9,6454
6,1,1,6,3528
0,0,5,1,5081
10,1,9,2,5525
4,1,11,8,4084
2,2,10,10,8244
8,0,10,1,5940
4,2,5,6,15467
10,1,2,11,6840
7,1,2,4,5477
0,0,6,9,6727
10,2,6,8,28979
9,1,9,4,3638
5,0,9,7,2975
7,2,7,1,7000
0,0,3,11,4943
10,0,7,9,3201
2,2,11,6,3549
4,1,7,7,4732
0,0,10,4,5963
5,1,0,8,2728
1,1,3,4,8677
8,0,1,11,3126
7,1,11,7,3920
0,0,7,3,2545
8,1,4,4,5929
8,1,0,8,2500
0,0,10,6,5759
9,1,5,3,9551
0,0,10,5,6061
4,1,9,7,4159
2,2,1,5,4093
10,1,1,4,6986
10,1,7,11,5290
0,2,8,8,8099
5,1,7,0,4844
7,1,8,4,4680
8,2,6,11,17919
1,2,9,10,5889
3,2,4,9,12165
8,1,4,0,5463
3,2,11,8,7387
6,1,6,10,7960
8,0,8,3,3169
11,0,8,11,2818
10,1,5,11,12134
10,0,7,5,3251
1,0,7,3,3528
2,1,11,2,2500
3,0,4,1,5122
2,0,6,4,4719
5,0,3,7,6986
5,1,2,9,6151
3,1,0,10,4252
1,0,8,10,3152
10,2,5,7,19070
9,1,1,5,4220
11,2,5,3,9693
2,0,7,2,2500
2,1,0,1,2500
2,2,5,2,8401
8,2,8,9,7573
7,2,11,0,4873
10,1,1,7,6861
0,2,2,1,9089
1,2,7,3,6820
6,2,10,11,10233
0,2,6,6,17383
10,0,7,10,3355
6,0,4,7,2500
8,0,8,4,2500
11,1,9,3,3211
2,0,4,8,2500
6,1,0,5,2500
4,1,10,2,9678
10,2,6,3,21064
9,0,2,1,4138
6,2,6,3,10957
4,2,0,3,4792
9,0,6,2,6260
11,0,9,3,2500
7,2,2,2,8327
2,2,8,1,4503
2,1,6,8,5742
6,1,7,9,3148
3,2,9,8,7580
5,2,5,2,14877
6,2,9,3,4506
8,0,4,5,3988
5,0,6,9,8171
2,2,6,1,10237
8,2,3,7,16130
6,0,3,2,4597
4,0,4,11,2619
3,2,3,10,22892
9,1,6,9,12317
6,0,0,9,2500
8,1,2,5,6138
9,0,11,0,3532
3,0,6,6,9034
7,1,11,7,4156
4,0,9,10,2500
10,2,11,11,8529
1,2,11,7,5565
3,0,2,6,5327
10,2,11,3,8925
7,1,0,11,2500
0,1,2,6,4821
6,2,7,3,4317
6,2,3,0,10176
10,1,3,1,16222
2,1,5,6,5711
2,2,0,8,2708
9,2,11,10,6662
0,1,6,2,10426
9,1,0,7,3109
8,2,0,5,4114
2,0,9,7,2500
6,2,8,5,4813
5,2,6,8,19241
7,0,5,5,5653
0,1,4,0,4853
11,0,8,0,2549
8,2,7,3,6850
1,1,0,2,2731
3,1,5,5,11637
3,2,4,7,13554
0,0,6,5,5629
5,0,0,1,2500
3,1,8,3,6575
7,2,5,2,17423
6,0,8,8,2598
4,1,0,9,2984
10,1,8,9,7521
10,0,11,11,3069
9,2,8,0,6517
8,0,6,4,7372
11,0,9,2,2500
0,0,1,2,3169
9,2,1,9,7261
2,1,10,1,5981
3,1,4,5,7658
7,0,4,7,3381
3,0,8,0,3821
7,1,8,8,4108
2,2,1,4,3732
11,0,2,8,2776
8,2,0,3,4906
1,2,4,11,7174
8,2,4,5,7356
9,1,10,8,10334
1,0,1,6,3233
1,1,0,11,2684
3,2,7,9,8232
8,2,9,5,7124
6,1,9,11,2841
0,0,10,11,5362
0,2,4,4,6324
0,1,1,0,4080
3,0,5,9,9880
11,2,5,11,9543
7,0,10,9,6025
5,0,1,11,3297
8,2,5,5,13990
1,2,5,0,13293
6,1,8,5,2654
7,1,5,1,7366
5,2,1,0,8079
7,2,0,9,4045
6,0,2,1,2500
4,1,10,11,8552
9,0,1,5,3599
2,2,8,11,3686
8,0,8,11,2953
8,2,2,11,7685
11,2,11,6,4150
1,1,10,5,8543
7,2,3,6,17140
3,1,9,6,3704
8,1,7,3,4359
3,2,4,3,11450
11,1,5,5,6256
9,1,1,7,5110
11,2,2,3,6792
5,0,1,6,3163
6,2,11,3,4107
0,1,10,7,9170
4,0,1,6,3189
10,0,4,2,5100
0,1,1,5,3675
1,0,7,9,2500
0,0,8,10,2805
4,1,2,7,4346
3,2,7,7,11865
0,1,6,11,8446
8,0,1,4,3224
7,2,11,5,7220
4,0,6,6,9003
8,1,7,7,4381
3,0,9,9,3134
9,1,4,4,5086
1,2,1,11,7490
5,0,8,10,2983
8,0,8,10,2812
1,2,3,5,18293
6,1,5,3,5912
0,1,6,4,10855
3,0,10,10,8947
11,2,9,5,5485
1,1,5,6,8518
4,1,9,8,2968
9,1,2,9,5536
10,1,8,4,5887
1,1,1,9,3491
6,2,3,5,9497
10,1,6,6,13828
9,1,1,10,4341
9,0,1,4,3275
6,0,2,5,2617
4,1,6,7,10652
6,1,8,3,3729
7,0,5,11,6928
10,1,2,2,5932
5,1,1,3,3292
4,2,1,5,8035
0,0,7,9,2738
0,2,3,0,17833
10,2,4,3,10542
2,0,8,7,2500
6,2,5,2,9176
6,2,4,6,5048
1,2,0,3,5098
5,1,11,4,4148
7,2,2,1,9459
9,2,7,3,5956
3,2,8,7,9015
2,2,4,2,4826
4,1,9,9,3529
6,2,9,2,4043
4,0,4,10,2567
5,0,11,9,2597
11,2,2,0,6302
4,2,5,0,14036
1,2,3,6,14665
1,0,2,9,3898
7,1,2,7,5240
4,0,5,0,6347
1,2,8,8,8884
8,1,11,4,4036
2,0,4,3,2550
8,2,1,0,6415
2,2,11,6,3342
3,1,2,7,5889
5,0,5,10,7658
1,0,5,0,5350
2,2,6,1,11630
0,0,9,0,2844
1,0,1,6,2963
5,0,1,5,3799
11,1,9,4,3586
5,0,2,11,3133
7,0,11,8,2500
1,1,9,9,4551
5,0,7,1,2638
3,0,10,6,8461
7,0,7,9,2705
9,2,10,6,13661
4,1,6,4,10503
7,0,6,9,6728
6,1,9,9,2500
6,0,4,4,2910
9,1,4,4,4839
5,2,10,0,17531
10,2,4,9,11958
8,2,7,3,7200
8,2,8,0,7388
0,0,7,10,3051
7,2,8,0,7444
2,2,8,7,3000
11,0,0,0,2500
10,2,4,7,10566
10,1,11,10,5304
10,2,10,3,19702
3,1,8,1,6975
4,1,5,0,9460
11,1,3,1,8244
9,1,8,1,3852
9,0,7,9,3052
4,1,11,10,3687
10,2,4,1,10159
0,2,11,11,7027
5,2,2,11,10140
0,1,3,0,8763
1,2,9,11,6666
4,2,2,6,6849
9,1,9,3,4271
2,1,8,9,3253
5,1,7,0,4671
0,1,4,1,5226
3,0,9,5,3281
6,0,5,0,4063
1,2,1,5,7265
0,1,6,8,11156
1,0,2,4,3782
2,2,10,6,9099
7,1,10,3,10201
5,2,3,8,15341
5,2,6,0,15719
2,2,10,11,7860
9,0,6,7,7797
4,2,1,0,7044
8,0,9,9,2616
0,1,9,4,3142
2,0,5,4,3776
11,0,4,1,3047
2,2,2,1,4715
2,0,4,6,2572
7,2,1,7,7020
9,2,11,5,7205
1,2,5,0,14772
10,1,1,1,7665
9,2,1,4,6856
11,1,7,4,2998
3,0,7,7,3766
4,1,11,10,3350
4,2,10,2,14565
3,0,11,8,3910
2,0,7,4,2500
2,2,8,11,3715
4,2,6,6,19826
3,1,1,2,5544
11,0,8,9,3087
3,1,5,11,16349
1,1,9,2,3815
6,0,7,7,2500
10,2,0,4,5445
4,0,0,8,2500
3,2,5,11,23843
9,2,11,10,6543
11,0,1,4,2500
11,0,0,5,2500
6,0,4,10,2541
2,2,5,3,9707
6,2,0,5,3156
10,0,7,0,4425
11,2,5,4,15383
6,2,10,1,9068
9,2,2,5,9594
10,1,7,9,5583
6,1,9,10,2826
0,0,8,5,2617
5,1,7,7,4378
6,0,1,5,2543
7,1,1,5,4238
10,1,4,11,6929
0,2,3,1,11802
11,0,2,11,2879
4,0,5,0,6671
7,0,0,9,2500
10,2,6,11,22612
4,0,5,6,5078
9,1,2,8,5788
7,0,4,7,3746
5,0,10,8,7364
4,2,8,11,6932
3,2,4,0,12905
4,2,2,7,8672
3,2,3,9,25665
4,0,9,3,2604
7,0,8,2,3162
11,2,5,9,11184
3,1,9,2,4035
2,2,5,3,8975
0,0,4,7,3082
7,0,5,5,7186
11,0,6,11,6139
3,2,8,8,9016
11,1,0,9,2500
3,1,5,9,11985
3,1,0,10,3998
1,2,3,5,14278
7,0,3,6,6725
11,1,1,0,3968
1,2,4,8,8051
6,0,5,1,4668
10,2,7,6,8393
6,1,6,2,8498
1,0,10,5,5915
8,1,2,11,5751
4,1,1,11,4445
11,2,4,1,6093
4,0,3,2,5429
11,2,8,8,7233
9,2,5,2,16021
2,2,0,1,2678
10,2,1,11,7032
5,0,5,8,4553
8,2,1,7,7914
1,1,1,5,4247
5,2,2,9,8157
5,2,11,6,7160
4,1,1,8,4537
11,0,6,11,5750
10,0,1,1,3636
7,0,9,3,2500
8,0,6,1,5675
11,0,7,2,2502
10,2,5,0,14782
6,0,9,7,2500
5,1,11,2,3930
4,1,6,3,11626
3,1,4,3,8060
9,2,7,1,7153
1,0,3,11,7212
7,2,5,1,15992
7,0,4,2,3558
4,2,7,5,5759
2,0,2,4,2500
